Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
IAG,"Iamgold Corp",3.65,0.08,+2.24%,3.67,3.59,1406224,"11:34 ET"
CRC,"California Resources Corporatio",24.52,-1.09,-4.26%,25.47,23.64,1341581,"11:36 ET"
WEN,"Wendys Company",16.9,0.43,+2.61%,16.95,16.47,1316945,"11:35 ET"
AMTD,"TD Ameritrade HD",49.36,-0.34,-0.68%,49.83,48.71,1310773,"11:36 ET"
CDEV,"Centennial Resource Development Inc",8.67,-0.040000000000001,-0.46%,8.74,8.45,1297504,"11:35 ET"
CY,"Cypress Semiconductr",14.83,-0.11,-0.74%,14.99,14.65,1259254,"11:36 ET"
AU,"Anglogold Ashanti Ltd",14.48,0.040000000000001,+0.28%,14.49,14.04,1257638,"11:35 ET"
VKTX,"Viking Thera",8.11,-0.15,-1.82%,8.34,7.86,1215232,"11:35 ET"
BHC,"Bausch Health Companies Inc",24.34,-0.35,-1.42%,24.88,23.92,1186297,"11:35 ET"
"Downloaded from Barchart.com as of 03-25-2019 10:36am CDT"
